macrostate,lnp
581,-832.5812515300224
582,-839.2312880015429
583,-847.3391796263339
584,-860.7388056756894
585,-867.6269977710442
586,-874.6845042930976
587,-881.8176546719329
588,-889.5145561681067
589,-895.49703495884
590,-905.6699878601129
591,-914.0284104319361
592,-924.1444756828465
593,-934.2879145947159
594,-939.6367249121505
595,-948.4826101164086
596,-955.9373202849436
597,-965.7658405365603
598,-974.6903442840085
599,-974.6903442840085
600,-974.6903442840085
601,-979.6181526298899
602,-990.7251635272345
603,-1003.1919518564241
604,-1010.3285802597353
605,-1019.2428432177807
606,-1028.7194969303468
607,-1036.3213267458334
608,-1046.8232752759964
609,-1053.1455276751485
610,-1069.0354519915368
611,-1078.452738037075
612,-1088.8127189183742
613,-1098.1432008337642
614,-1098.1432008337642
615,-1098.1432008337642
616,-1109.8337178209324
617,-1119.0649613213243
618,-1128.665804266324
619,-1139.4500008497184
620,-1155.051866069097
621,-1162.2734881295303
622,-1174.7877681071714
623,-1186.6717377596904
624,-1186.6717377596904
625,-1186.6717377596904
626,-1192.1821098485523
627,-1201.3076918589652
628,-1206.764785779471
629,-1215.9449034456682
630,-1220.219587657476
631,-1234.5269997866706
632,-1241.9971939148506
633,-1257.303054086254
634,-1264.5471020329485
635,-1270.0782474373993
636,-1284.0378229516493
637,-1292.6077293504527
638,-1302.9355062453992
639,-1309.6606803792047
640,-1313.9833495090772
641,-1324.401555963548
642,-1342.7694154822684
643,-1352.0853707622932
644,-1356.6838437964595
645,-1371.1455350960214
646,-1386.548642785724
647,-1392.1251531176101
648,-1398.3824587039446
649,-1413.8496872016415
650,-1421.9623317008986
